Unit,Question,Answer
VISUAL 4 - UNIT 6,"""Do you put stickers on your face?""","""Yes, I put stickers on my face."" / ""No, I do not put stickers on my face."""
VISUAL 4 - UNIT 6,"""What type of collection is this?""","""This is a collection of pebbles."""
VISUAL 4 - UNIT 6,"""What are they?""","""They are pebbles."""
VISUAL 4 - UNIT 6,"""Do you collect pebbles?""","""Yes, I collect pebbles."" / ""No, I do not collect pebbles."""
VISUAL 4 - UNIT 6,"""Do you paint pebbles?""","""Yes, I paint pebbles."" / ""No, I do not paint pebbles."""
VISUAL 4 - UNIT 6,"""Is it interesting or boring to collect pebbles?""","""It is interesting to collect pebbles."" / ""It is boring to collect pebbles."""
VISUAL 4 - UNIT 6,"""What is the animal doing?""","""The animal is collecting pebbles."""
VISUAL 4 - UNIT 6,"""Are the pebbles beautiful or ugly?""","""The pebbles are beautiful."" / ""The pebbles are ugly."""
VISUAL 4 - UNIT 6,"""Are they big or small pebbles?""","""They are big pebbles."" / ""They are small pebbles."""
VISUAL 4 - UNIT 6,"""Are they happy or sad pebbles?""","""They are happy pebbles."" / ""They are sad pebbles."""
VISUAL 4 - UNIT 6,"""Where are the pebbles?""","""The pebbles are in the garden."""
VISUAL 4 - UNIT 6,"""Where are the pebbles?""","""The pebbles are in the water."""
VISUAL 4 - UNIT 6,"""Where are the pebbles?""","""The pebbles are on the beach."""
VISUAL 4 - UNIT 6,"""What type of collection is this?""","""This is a collection of key rings."""
VISUAL 4 - UNIT 6,"""What is it?""","""It is a key ring."""
VISUAL 4 - UNIT 6,"""Do you collect key rings?""","""Yes, I collect key rings."" / ""No, I do not collect key rings."""
VISUAL 4 - UNIT 6,"""Do you collect Marvel key rings?""","""Yes, I collect Marvel key rings."" / ""No, I do not collect Marvel key rings."""
VISUAL 4 - UNIT 6,"""Is it interesting or boring to collect key rings?""","""It is interesting to collect key rings."" / ""It is boring to collect key rings."""
VISUAL 4 - UNIT 6,"""Do you have key rings on your bag?""","""Yes, I have key rings on my bag."" / ""No, I do not have key rings on my bag."""
VISUAL 4 - UNIT 6,"""Do you have a key ring on your pencil case?""","""Yes, I have a key ring on my pencil case."" / ""No, I do not have a key ring on my pencil case."""
VISUAL 4 - UNIT 6,"""Where are these key rings from?""","""These key rings are from Paris."""
VISUAL 4 - UNIT 6,"""Where are these key rings from?""","""These key rings are from New York."""
VISUAL 4 - UNIT 6,"""Where are these key rings from?""","""These key rings are from London."""
VISUAL 4 - UNIT 6,"""Are they Easter or Christmas key rings?""","""They are Easter key rings."" / ""They are Christmas key rings."""
VISUAL 4 - UNIT 6,"""Is it a Spiderman or Batman key ring?""","""It is a Spiderman key ring."" / ""It is a Batman key ring."""
VISUAL 4 - UNIT 6,"""What type of collection is this?""","""This is a collection of magnets."""
VISUAL 4 - UNIT 6,"""What are they?""","""They are magnets."""
VISUAL 4 - UNIT 6,"""Do you collect magnets?""","""Yes, I collect magnets."" / ""No, I do not collect magnets."""
VISUAL 4 - UNIT 6,"""Do you buy magnets on holiday?""","""Yes, I buy magnets on holiday."" / ""No, I do not buy magnets on holiday."""
VISUAL 4 - UNIT 6,"""Do you have magnets on your fridge?""","""Yes, I have magnets on my fridge."" / ""No, I do not have magnets on my fridge."""
VISUAL 4 - UNIT 6,"""Do you have photo magnets on your fridge?""","""Yes, I have photo magnets on my fridge."" / ""No, I do not have photo magnets on my fridge."""
VISUAL 4 - UNIT 6,"""Are there many or few magnets on the fridge?""","""There are many magnets on the fridge."" / ""There are few magnets on the fridge."""
VISUAL 4 - UNIT 6,"""What color is your phone case?""","""My phone case is [insert color]."""
VISUAL 4 - UNIT 6,"""How many phone cases do you have?""","""I have [insert number] phone cases."""
VISUAL 4 - UNIT 6,"""Do you collect phone cases?""","""Yes, I collect phone cases."" / ""No, I do not collect phone cases."""
VISUAL 4 - UNIT 6,"""Do you prefer plain or colorful phone cases?""","""I prefer plain phone cases."" / ""I prefer colorful phone cases."""
VISUAL 4 - UNIT 6,"""Which phone case do you like?""","""I like [insert description] phone case."""
VISUAL 4 - UNIT 6,"""Do you have plushies on the bed?""","""Yes, I have plushies on the bed."" / ""No, I do not have plushies on the bed."""
VISUAL 4 - UNIT 6,"""What is your favorite plushy?""","""My favorite plushy is [insert plushy name]."""
VISUAL 4 - UNIT 6,"""Do you sleep with a plushy?""","""Yes, I sleep with a plushy."" / ""No, I do not sleep with a plushy."""
VISUAL 4 - UNIT 6,"""Do you buy plushies on vacation?""","""Yes, I buy plushies on vacation."" / ""No, I do not buy plushies on vacation."""
VISUAL 4 - UNIT 6,"""Is it a big or small collection?""","""It is a big collection."" / ""It is a small collection."""
VISUAL 4 - UNIT 6,"""Do you collect slodziaki?""","""Yes, I collect slodziaki."" / ""No, I do not collect slodziaki."""
VISUAL 4 - UNIT 6,"""Do you have this plushy?""","""Yes, I have this plushy."" / ""No, I do not have this plushy."""
VISUAL 4 - UNIT 6,"""Which plushy do you like?""","""I like [insert plushy name]."""
VISUAL 4 - UNIT 6,"""What type of collection is this?""","""This is a collection of toy figures."""
VISUAL 4 - UNIT 6,"""What are they?""","""They are toy figures."""
VISUAL 4 - UNIT 6,"""What type of collection is this?""","""This is a collection of cards."""
VISUAL 4 - UNIT 6,"""What are they?""","""They are cards."""
VISUAL 4 - UNIT 6,"""Do you collect cards?""","""Yes, I collect cards."" / ""No, I do not collect cards."""
VISUAL 4 - UNIT 6,"""Who in your family collects cards?""","""[Insert name] in my family collects cards."""
VISUAL 4 - UNIT 6,"""Do you collect football cards?""","""Yes, I collect football cards."" / ""No, I do not collect football cards."""
VISUAL 4 - UNIT 6,"""Do you collect Pokémon cards?""","""Yes, I collect Pokémon cards."" / ""No, I do not collect Pokémon cards."""
VISUAL 4 - UNIT 6,"""What cards are they?""","""They are American football cards."""
VISUAL 4 - UNIT 6,"""What cards are they?""","""They are baseball cards."""
VISUAL 4 - UNIT 6,"""What cards are they?""","""They are basketball cards."""
VISUAL 4 - UNIT 6,"""What cards are they?""","""They are football cards."""
VISUAL 4 - UNIT 6,"""Do you collect Roblox skins?""","""Yes, I collect Roblox skins."" / ""No, I do not collect Roblox skins."""
VISUAL 4 - UNIT 6,"""Do you collect postcards?""","""Yes, I collect postcards."" / ""No, I do not collect postcards."""
VISUAL 4 - UNIT 6,"""What activity is this?""","""This is an activity to write the answers."""
VISUAL 4 - UNIT 6,"""What activity is this?""","""This is an activity to number the pictures."""
VISUAL 4 - UNIT 6,"""What is this video about?""","""This video is about crazy collections."""
VISUAL 4 - UNIT 6,"""What is this video about?""","""This video is about disturbing collections."""
VISUAL 4 - UNIT 6,Corrected Question,Corrected Answer
VISUAL 4 - UNIT 7,"""What is it?""","""It is a shopping mall."""
VISUAL 4 - UNIT 7,"""Are shopping malls big or small?""","""Shopping malls are big."" / ""Shopping malls are small."""
VISUAL 4 - UNIT 7,"""Do you like shopping malls?""","""Yes, I like shopping malls."" / ""No, I do not like shopping malls."""
VISUAL 4 - UNIT 7,"""What is the biggest shopping mall near your house?""","""The biggest shopping mall near my house is [insert name]."""
VISUAL 4 - UNIT 7,"""What is this image?""","""This is an image of a shopping mall."""
VISUAL 4 - UNIT 7,"""Is there a shopping mall near where you live?""","""Yes, there is a shopping mall near where I live."" / ""No, there isn't."""
VISUAL 4 - UNIT 7,"""What is this image?""","""This is an image of a shopping mall near someone's home."""
VISUAL 4 - UNIT 7,"""Do you go to the shopping mall alone or with friends?""","""I go to the shopping mall alone."" / ""I go to the shopping mall with friends."""
VISUAL 4 - UNIT 7,"""What is this image?""","""This is an image of people at a shopping mall."""
VISUAL 4 - UNIT 7,"""Do you prefer going to the shopping mall or shopping online?""","""I prefer going to the shopping mall."" / ""I prefer shopping online."""
VISUAL 4 - UNIT 7,"""What is this image?""","""This is an image comparing shopping in malls versus online."""
VISUAL 4 - UNIT 7,"""Do you like going shoe shopping or clothes shopping?""","""I like going shoe shopping."" / ""I like going clothes shopping."""
VISUAL 4 - UNIT 7,"""What is this image?""","""This is an image of shoe and clothes shopping."""
VISUAL 4 - UNIT 7,"""Do you visit Bonarka shopping mall?""","""Yes, I visit Bonarka shopping mall."" / ""No, I do not visit Bonarka shopping mall."""
VISUAL 4 - UNIT 7,"""Do you visit Krakowska shopping mall?""","""Yes, I visit Krakowska shopping mall."" / ""No, I do not visit Krakowska shopping mall."""
VISUAL 4 - UNIT 7,"""Do you shop in Adidas?""","""Yes, I shop in Adidas."" / ""No, I do not shop in Adidas."""
VISUAL 4 - UNIT 7,"""Do you shop in Cropp?""","""Yes, I shop in Cropp."" / ""No, I do not shop in Cropp."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted dog."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are spotted shoes."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted umbrella."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted bowtie."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted dress."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted scrunchie."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is spotted shorts."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted blouse."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a spotted sweater."""
VISUAL 4 - UNIT 7, , 
VISUAL 4 - UNIT 7,"""What is she holding?""","""She is holding checked shoes."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a checked shirt."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a checked suitcase."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are checked trousers."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a striped sweater."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a striped carpet."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a striped tiger."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are striped socks."""
VISUAL 4 - UNIT 7,"""What is the sitting man wearing?""","""The sitting man is wearing a green plain sweater and grey plain trousers."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a plain hat."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a plain shirt."""
VISUAL 4 - UNIT 7,"""What are they wearing?""","""They are wearing green and blue plain shirts."""
VISUAL 4 - UNIT 7,"""What do you prefer, plain or patterns?""","""I prefer plain."" / ""I prefer patterns."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a plain dress."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a plain phone case."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a plain tie."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are plain trainers."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a denim jacket."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are denim jeans."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a denim hat."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are denim bags."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are denim shoes."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a denim skirt."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are denim shorts."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned coat."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are patterned socks."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are patterned shoes."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned shirt."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned scarf."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned bag."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned shoe."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a patterned frog."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a flowery shirt."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a flowery hoodie."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a flowery phone."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are flowery slippers."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are flowery ties."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are flowery shorts."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a flowery blouse."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a flowery jacket."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are leather boots."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a glove."""
VISUAL 4 - UNIT 7,"""What is he wearing?""","""He is wearing a leather jacket."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are leather bags."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a leather sofa."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a leather bag."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a leather tie."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are leather trousers."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a leather skirt."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen skirt."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen hoodie."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen scrunchie."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are woollen shoes."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are woollen sweaters."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are woollen slippers."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen crab."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen hat."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a woollen penguin."""
VISUAL 4 - UNIT 7,"""What pattern is on the shirt?""","""The shirt has a plain pattern."""
VISUAL 4 - UNIT 7,"""What pattern is on the shirt?""","""The shirt has a flowery pattern."""
VISUAL 4 - UNIT 7,"""What pattern is on the shirt?""","""The shirt has a striped pattern."""
VISUAL 4 - UNIT 7,"""What type of clothing is this?""","""This is a T-shirt."""
VISUAL 4 - UNIT 7,"""What is the woman wearing?""","""The woman is wearing T-shirts."""
VISUAL 4 - UNIT 7,"""Do you wear blouses?""","""Yes, I wear blouses."" / ""No, I do not wear blouses."""
VISUAL 4 - UNIT 7,"""What do you think of this blouse?""","""I think this blouse is [insert opinion, e.g., beautiful, elegant, casual]."""
VISUAL 4 - UNIT 7,"""What pattern is on the shirt?""","""The shirt has a spotted pattern."""
VISUAL 4 - UNIT 7,"""Do you have any jackets in your wardrobe?""","""Yes, I have jackets in my wardrobe."" / ""No, I do not have jackets in my wardrobe."""
VISUAL 4 - UNIT 7,"""Is it a big or small jacket?""","""It is a big jacket."" / ""It is a small jacket."""
VISUAL 4 - UNIT 7,"""Is it a huge or tiny jacket?""","""It is a huge jacket."" / ""It is a tiny jacket."""
VISUAL 4 - UNIT 7,"""Are they spring, summer, autumn, or winter jackets?""","""They are spring jackets."" / ""They are summer jackets."" / ""They are autumn jackets."" / ""They are winter jackets."""
VISUAL 4 - UNIT 7,"""Is it a spring or winter jacket?""","""It is a spring jacket."" / ""It is a winter jacket."""
VISUAL 4 - UNIT 7,"""Do you have scarves in your wardrobe?""","""Yes, I have scarves in my wardrobe."" / ""No, I do not have scarves in my wardrobe."""
VISUAL 4 - UNIT 7,"""Do you wear scarves in the summer or in the winter?""","""I wear scarves in the summer."" / ""I wear scarves in the winter."""
VISUAL 4 - UNIT 7,"""Do you wear scarves to school?""","""Yes, I wear scarves to school."" / ""No, I do not wear scarves to school."""
VISUAL 4 - UNIT 7,"""What type of clothing is this?""","""This is a sweater."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a sweater."""
VISUAL 4 - UNIT 7,"""Do you have any sweaters in your wardrobe?""","""Yes, I have sweaters in my wardrobe."" / ""No, I do not have sweaters in my wardrobe."""
VISUAL 4 - UNIT 7,"""Do you wear Christmas sweaters?""","""Yes, I wear Christmas sweaters."" / ""No, I do not wear Christmas sweaters."""
VISUAL 4 - UNIT 7,"""Do you wear sweaters in the winter?""","""Yes, I wear sweaters in the winter."" / ""No, I do not wear sweaters in the winter."""
VISUAL 4 - UNIT 7,"""What do you think of this sweater?""","""I think this sweater is [insert opinion, e.g., cozy, stylish, warm]."""
VISUAL 4 - UNIT 7,"""What pattern is on the sweater?""","""The sweater has a striped pattern."""
VISUAL 4 - UNIT 7,"""Do you wear hoodies in the summer?""","""Yes, I wear hoodies in the summer."" / ""No, I do not wear hoodies in the summer."""
VISUAL 4 - UNIT 7,"""Do you have a sports Nike or Adidas hoodie?""","""I have a Nike hoodie."" / ""I have an Adidas hoodie."""
VISUAL 4 - UNIT 7,"""What type of hoodie is it?""","""It is a Spiderman hoodie."""
VISUAL 4 - UNIT 7,"""What type of accessory is this?""","""This is a hat."""
VISUAL 4 - UNIT 7,"""What is it?""","""It is a hat."""
VISUAL 4 - UNIT 7,"""Are they casual or elegant shoes?""","""They are casual shoes."" / ""They are elegant shoes."""
VISUAL 4 - UNIT 7,"""What do you think of these shoes?""","""I think these shoes are beautiful."" / ""I think these shoes are ugly."""
VISUAL 4 - UNIT 7,"""Are the shoes summer or winter shoes?""","""The shoes are summer shoes."" / ""The shoes are winter shoes."""
VISUAL 4 - UNIT 7,"""What type of clothing is this?""","""These are trainers."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are trainers."""
VISUAL 4 - UNIT 7,"""Do you prefer normal trousers or jeans?""","""I prefer normal trousers."" / ""I prefer jeans."""
VISUAL 4 - UNIT 7,"""Do you wear trousers to school?""","""Yes, I wear trousers to school."" / ""No, I do not wear trousers to school."""
VISUAL 4 - UNIT 7,"""Are they summer or winter trousers?""","""They are summer trousers."" / ""They are winter trousers."""
VISUAL 4 - UNIT 7,"""What type of clothing is this?""","""These are shorts."""
VISUAL 4 - UNIT 7,"""Do you have any shorts in your wardrobe?""","""Yes, I have shorts in my wardrobe."" / ""No, I do not have shorts in my wardrobe."""
VISUAL 4 - UNIT 7,"""What are they?""","""They are shorts."""
VISUAL 4 - UNIT 7,"""Do you wear shorts in the summer or in the winter?""","""I wear shorts in the summer."" / ""I wear shorts in the winter."""
VISUAL 4 - UNIT 7,"""What type of shorts are they?""","""They are woollen shorts."""
VISUAL 4 - UNIT 7,"""Are they elegant or casual shorts?""","""They are elegant shorts."" / ""They are casual shorts."""
VISUAL 4 - UNIT 7,"""Are they colourful or plain shorts?""","""They are colourful shorts."" / ""They are plain shorts."""
VISUAL 4 - UNIT 7,"""Are they long or short socks?""","""They are long socks."" / ""They are short socks."""
VISUAL 4 - UNIT 7,"""What is this activity?""","""This activity is about drawing patterns."""
VISUAL 4 - UNIT 7,"""What is your size?""","""My size is [insert size]."""
VISUAL 4 - UNIT 7,"""Is the T-shirt a big or a small size?""","""The T-shirt is a big size."" / ""The T-shirt is a small size."""
VISUAL 4 - UNIT 7,"""Are the trousers a big or a small size?""","""The trousers are a big size."" / ""The trousers are a small size."""
VISUAL 4 - UNIT 7,"""What is this image about?""","""This image is about clothing sizes."""
VISUAL 4 - UNIT 7,"""Is the hoodie a big or a small size?""","""The hoodie is a big size."" / ""The hoodie is a small size."""
VISUAL 4 - UNIT 7,"""What is your shoe size?""","""My shoe size is [insert size]."""
VISUAL 4 - UNIT 7,"""Who has the biggest shoe size in your house?""","""[Name] has the biggest shoe size in my house."""
VISUAL 4 - UNIT 7,"""Has he got a small or big shoe size?""","""He has a small shoe size."" / ""He has a big shoe size."""
VISUAL 4 - UNIT 7,"""What is this image about?""","""This image is about shoe sizes."""
VISUAL 4 - UNIT 7,"""How are they dressed—formal or casual?""","""They are dressed formally."" / ""They are dressed casually."""
VISUAL 4 - UNIT 7,"""Is she wearing formal or casual clothes?""","""She is wearing formal clothes."" / ""She is wearing casual clothes."""
VISUAL 4 - UNIT 7,"""Is she wearing a formal or a casual dress?""","""She is wearing a formal dress."" / ""She is wearing a casual dress."""
VISUAL 4 - UNIT 7,"""What is this image about?""","""This image is about casual and formal clothing styles."""
VISUAL 4 - UNIT 7,"""Is he wearing casual or formal clothes?""","""He is wearing casual clothes."" / ""He is wearing formal clothes."""
VISUAL 4 - UNIT 7,"""Are they wearing casual or formal clothes?""","""They are wearing casual clothes."" / ""They are wearing formal clothes."""
VISUAL 4 - UNIT 7,"""Do you wear formal or casual clothes at a party?""","""I wear formal clothes at a party."" / ""I wear casual clothes at a party."""
VISUAL 4 - UNIT 7,"""Do you wear formal or casual clothes in school?""","""I wear formal clothes in school."" / ""I wear casual clothes in school."""
VISUAL 4 - UNIT 7,"""What do you prefer—formal or casual clothes?""","""I prefer formal clothes."" / ""I prefer casual clothes."""
VISUAL 4 - UNIT 7,"""Is he wearing trendy or old-fashioned clothes?""","""He is wearing trendy clothes."" / ""He is wearing old-fashioned clothes."""
VISUAL 4 - UNIT 7,"""Are they wearing trendy or old-fashioned clothes?""","""They are wearing trendy clothes."" / ""They are wearing old-fashioned clothes."""
VISUAL 4 - UNIT 7,"""Is she wearing trendy or old-fashioned clothes?""","""She is wearing trendy clothes."" / ""She is wearing old-fashioned clothes."""
VISUAL 4 - UNIT 7,"""Are the trainers trendy?""","""Yes, the trainers are trendy."" / ""No, the trainers are not trendy."""
VISUAL 4 - UNIT 7,"""What is this image about?""","""This image is about old-fashioned and trendy clothing styles."""
VISUAL 4 - UNIT 7,"""What is this activity?""","""This activity is about designing your uniform."""
VISUAL 4 - UNIT 7,Corrected Question,Corrected Answer
VISUAL 4 - UNIT 7, ,"""This video is about a class activity led by the video teacher."""
VISUAL 4 - UNIT 8,"""What are the three meals of the day?""","""The three meals of the day are breakfast, lunch, and dinner."""
VISUAL 4 - UNIT 8,"""When do you have breakfast?""","""I have breakfast in the morning."""
VISUAL 4 - UNIT 8,"""When do you have brunch?""","""I have brunch in the late morning or early afternoon."""
VISUAL 4 - UNIT 8,"""When do you have lunch?""","""I have lunch in the afternoon."""
VISUAL 4 - UNIT 8,"""When do you have dinner?""","""I have dinner in the evening."""
VISUAL 4 - UNIT 8,"""What is it?""","""It is a tablespoon of yoghurt."""
VISUAL 4 - UNIT 8,"""What is this image about?""","""This image is about the meals of the day."""
VISUAL 4 - UNIT 8,"""What is it?""","""It is breakfast."""
VISUAL 4 - UNIT 8,"""What do you eat for breakfast?""","""I eat [insert food, e.g., cereal, eggs] for breakfast."""
VISUAL 4 - UNIT 8,"""What do you drink for breakfast?""","""I drink [insert beverage, e.g., coffee, milk] for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat a big or a small breakfast?""","""I eat a big breakfast."" / ""I eat a small breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat breakfast every day?""","""Yes, I eat breakfast every day."" / ""No, I do not eat breakfast every day."""
VISUAL 4 - UNIT 8,"""Do you eat cereal for breakfast?""","""Yes, I eat cereal for breakfast."" / ""No, I do not eat cereal for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat bacon for breakfast?""","""Yes, I eat bacon for breakfast."" / ""No, I do not eat bacon for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat Nutella for breakfast?""","""Yes, I eat Nutella for breakfast."" / ""No, I do not eat Nutella for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat ice cream for breakfast?""","""Yes, I eat ice cream for breakfast."" / ""No, I do not eat ice cream for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat jam for breakfast?""","""Yes, I eat jam for breakfast."" / ""No, I do not eat jam for breakfast."""
VISUAL 4 - UNIT 8,"""Do you eat peanut butter for breakfast?""","""Yes, I eat peanut butter for breakfast."" / ""No, I do not eat peanut butter for breakfast."""
VISUAL 4 - UNIT 8,"""Do you have pancakes for breakfast?""","""Yes, I have pancakes for breakfast."" / ""No, I do not have pancakes for breakfast."""
VISUAL 4 - UNIT 8,"""Do you have eggs for breakfast?""","""Yes, I have eggs for breakfast."" / ""No, I do not have eggs for breakfast."""
VISUAL 4 - UNIT 8,"""Do you have waffles for breakfast?""","""Yes, I have waffles for breakfast."" / ""No, I do not have waffles for breakfast."""
VISUAL 4 - UNIT 8,"""What is this video about?""","""This video is about breakfast traditions around the world."""
VISUAL 4 - UNIT 8,"""Do you have toast for breakfast?""","""Yes, I have toast for breakfast."" / ""No, I do not have toast for breakfast."""
VISUAL 4 - UNIT 8,"""What is brunch?""","""Brunch is a combination of breakfast and lunch."""
VISUAL 4 - UNIT 8,"""Do you eat brunch?""","""Yes, I eat brunch."" / ""No, I do not eat brunch."""
VISUAL 4 - UNIT 8,"""Do you eat brunch at home or in school?""","""I eat brunch at home."" / ""I eat brunch in school."""
VISUAL 4 - UNIT 8,"""Do you prefer a sweet or salty breakfast/brunch?""","""I prefer a sweet breakfast/brunch."" / ""I prefer a salty breakfast/brunch."""
VISUAL 4 - UNIT 8,"""What is the boy eating?""","""The boy is eating lunch."""
VISUAL 4 - UNIT 8,"""Do you have a small or big lunch?""","""I have a small lunch."" / ""I have a big lunch."""
VISUAL 4 - UNIT 8,"""Do you eat lunch in school?""","""Yes, I eat lunch in school."" / ""No, I do not eat lunch in school."""
VISUAL 4 - UNIT 8,"""Do you have packed lunch or school lunch?""","""I have packed lunch."" / ""I have school lunch."""
VISUAL 4 - UNIT 8,"""Do you eat fast food for lunch?""","""Yes, I eat fast food for lunch."" / ""No, I do not eat fast food for lunch."""
VISUAL 4 - UNIT 8,"""What is this video about?""","""This video is about school lunches around the world."""
VISUAL 4 - UNIT 8,"""What are they eating?""","""They are eating dinner."""
VISUAL 4 - UNIT 8,"""What do you eat for dinner?""","""I eat [insert food, e.g., pasta, rice] for dinner."""
VISUAL 4 - UNIT 8,"""What time do you have dinner?""","""I have dinner at [insert time, e.g., 7 PM]."""
VISUAL 4 - UNIT 8,"""Where do you have dinner?""","""I have dinner in the kitchen."" / ""I have dinner in the dining room."""
VISUAL 4 - UNIT 8,"""Do you eat fast food for dinner?""","""Yes, I eat fast food for dinner."" / ""No, I do not eat fast food for dinner."""
VISUAL 4 - UNIT 8,"""Do you have dinner or supper in the evening?""","""I have dinner in the evening."" / ""I have supper in the evening."""
VISUAL 4 - UNIT 8,"""What is it?""","""It is a British breakfast."""
VISUAL 4 - UNIT 8,"""Do you prefer an American or a British breakfast?""","""I prefer an American breakfast."" / ""I prefer a British breakfast."""
VISUAL 4 - UNIT 8,"""What is this image about?""","""This image is about a British breakfast."""
VISUAL 4 - UNIT 8,"""Is a British breakfast big or small?""","""A British breakfast is big."""
VISUAL 4 - UNIT 8,"""What is this video about?""","""This video is about a full English breakfast in London."""
VISUAL 4 - UNIT 8,"""What is this activity?""","""This activity is about a Wordwall game on British breakfast."""
VISUAL 4 - UNIT 8,"""Are nuts healthy or unhealthy?""","""Nuts are healthy."""
VISUAL 4 - UNIT 8,"""Are chips healthy or unhealthy?""","""Chips are unhealthy."""
VISUAL 4 - UNIT 8,"""Is chocolate healthy or unhealthy?""","""Chocolate is unhealthy."""
VISUAL 4 - UNIT 8,"""Is water healthy or unhealthy?""","""Water is healthy."""
VISUAL 4 - UNIT 8,"""Are donuts healthy or unhealthy?""","""Donuts are unhealthy."""
VISUAL 4 - UNIT 8,"""Is mayonnaise healthy or unhealthy?""","""Mayonnaise is unhealthy."""
VISUAL 4 - UNIT 8,"""What is this video about?""","""This video is about a song on healthy food."""
VISUAL 4 - UNIT 8,"""What type of beverage is this?""","""This is beer."""
VISUAL 4 - UNIT 8,"""What is it?""","""It is beer."""
VISUAL 4 - UNIT 8,"""What is the dog drinking?""","""The dog is drinking beer."""
VISUAL 4 - UNIT 8,"""Can you drink beer?""","""No, I cannot drink beer."""
VISUAL 4 - UNIT 8,"""Is beer healthy or unhealthy?""","""Beer is unhealthy."""
VISUAL 4 - UNIT 8,"""What is this image about?""","""This image is about beverages."""
VISUAL 4 - UNIT 8,"""What type of beverage is this?""","""This is juice."""
VISUAL 4 - UNIT 8,"""What is it?""","""It is juice."""
